Tratamento,Tempo_h,Replicata,Contagem
Controle_Crescimento,0,1,32
Controle_Crescimento,0,2,35
Controle_Crescimento,0,3,31
Controle_Crescimento,2,1,43
Controle_Crescimento,2,2,46
Controle_Crescimento,2,3,40
Controle_Crescimento,4,1,59
Controle_Crescimento,4,2,64
Controle_Crescimento,4,3,55
Controle_Crescimento,8,1,195
Controle_Crescimento,8,2,210
Controle_Crescimento,8,3,188
Controle_Crescimento,24,1,NaN
Controle_Crescimento,24,2,NaN
Controle_Crescimento,24,3,NaN
Controle_Veiculo,0,1,30
Controle_Veiculo,0,2,33
Controle_Veiculo,0,3,29
Controle_Veiculo,2,1,39
Controle_Veiculo,2,2,41
Controle_Veiculo,2,3,37
Controle_Veiculo,4,1,53
Controle_Veiculo,4,2,56
Controle_Veiculo,4,3,50
Controle_Veiculo,8,1,185
Controle_Veiculo,8,2,198
Controle_Veiculo,8,3,179
Controle_Veiculo,24,1,NaN
Controle_Veiculo,24,2,NaN
Controle_Veiculo,24,3,NaN
EAO_250_1X,0,1,28
EAO_250_1X,0,2,26
EAO_250_1X,0,3,34
EAO_250_1X,2,1,13
EAO_250_1X,2,2,15
EAO_250_1X,2,3,14
EAO_250_1X,4,1,28
EAO_250_1X,4,2,10
EAO_250_1X,4,3,14
EAO_250_1X,8,1,98
EAO_250_1X,8,2,115
EAO_250_1X,8,3,120
EAO_250_1X,24,1,NaN
EAO_250_1X,24,2,NaN
EAO_250_1X,24,3,NaN
EAO_500_2X,0,1,15
EAO_500_2X,0,2,23
EAO_500_2X,0,3,25
EAO_500_2X,2,1,11
EAO_500_2X,2,2,12
EAO_500_2X,2,3,12
EAO_500_2X,4,1,19
EAO_500_2X,4,2,6
EAO_500_2X,4,3,12
EAO_500_2X,8,1,147
EAO_500_2X,8,2,45
EAO_500_2X,8,3,58
EAO_500_2X,24,1,NaN
EAO_500_2X,24,2,NaN
EAO_500_2X,24,3,NaN
EAO_1000_4X,0,1,11
EAO_1000_4X,0,2,15
EAO_1000_4X,0,3,12
EAO_1000_4X,2,1,7
EAO_1000_4X,2,2,10
EAO_1000_4X,2,3,10
EAO_1000_4X,4,1,0
EAO_1000_4X,4,2,4
EAO_1000_4X,4,3,16
EAO_1000_4X,8,1,3
EAO_1000_4X,8,2,2
EAO_1000_4X,8,3,1
EAO_1000_4X,24,1,NaN
EAO_1000_4X,24,2,NaN
EAO_1000_4X,24,3,NaN
Nistatina_4_1X,0,1,14
Nistatina_4_1X,0,2,10
Nistatina_4_1X,0,3,18
Nistatina_4_1X,2,1,7
Nistatina_4_1X,2,2,7
Nistatina_4_1X,2,3,6
Nistatina_4_1X,4,1,0
Nistatina_4_1X,4,2,0
Nistatina_4_1X,4,3,0
Nistatina_4_1X,8,1,0
Nistatina_4_1X,8,2,0
Nistatina_4_1X,8,3,0
Nistatina_4_1X,24,1,1
Nistatina_4_1X,24,2,1
Nistatina_4_1X,24,3,0
Nistatina_8_2X,0,1,15
Nistatina_8_2X,0,2,14
Nistatina_8_2X,0,3,8
Nistatina_8_2X,2,1,3
Nistatina_8_2X,2,2,3
Nistatina_8_2X,2,3,0
Nistatina_8_2X,4,1,0
Nistatina_8_2X,4,2,0
Nistatina_8_2X,4,3,0
Nistatina_8_2X,8,1,0
Nistatina_8_2X,8,2,0
Nistatina_8_2X,8,3,0
Nistatina_8_2X,24,1,1
Nistatina_8_2X,24,2,0
Nistatina_8_2X,24,3,0
Nistatina_16_4X,0,1,9
Nistatina_16_4X,0,2,9
Nistatina_16_4X,0,3,8
Nistatina_16_4X,2,1,0
Nistatina_16_4X,2,2,0
Nistatina_16_4X,2,3,0
Nistatina_16_4X,4,1,0
Nistatina_16_4X,4,2,0
Nistatina_16_4X,4,3,0
Nistatina_16_4X,8,1,0
Nistatina_16_4X,8,2,0
Nistatina_16_4X,8,3,0
Nistatina_16_4X,24,1,0
Nistatina_16_4X,24,2,0
Nistatina_16_4X,24,3,0
